record_id,date,crop_type,soil_type,area_sqm,current_moisture_pct,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,days_since_last_irrigation,evapotranspiration_mm_day,crop_coefficient_kc,predicted_moisture_24h_pct,recommended_water_mm,irrigation_required,urgency,confidence,next_irrigation_hours,weather_condition,target_moisture_pct,water_saved_vs_fixed_ml
13,2025-01-01,Corn,Peat Mix,15927.81,72.2,10.95,60.73,1.69,21.98,7.58,0.5,1,66.58,0,0,low,0.83,72,Light Rain,55,454.42
14,2025-01-01,Corn,Sandy,4055.13,49.15,13.72,76.66,0,4.35,8.98,0.5,0.8,42.58,9.94,0,low,0.82,72,Overcast,55,39.05
15,2025-01-01,Potato,Clay Loam,6053.16,27.91,16.34,80.62,11.79,6.62,3.93,0.5,0.94,28.14,29.49,1,high,0.82,0,Heavy Rain,65,62.47
16,2025-01-01,Potato,Sandy Loam,12201.84,40.69,12.88,67.83,0,8.79,1.83,0.5,0.95,39.43,20.46,1,high,0.75,0,Sunny,65,87.37
17,2025-01-01,Potato,Clay,11201.92,34.08,15.87,76.61,0,12.39,5.37,0.5,0.92,30.14,27.89,1,high,0.76,0,Partly Cloudy,65,109.33
18,2025-01-01,Potato,Clay Loam,10716.81,76.3,19.06,45.12,0,8.26,5.74,0.5,0.81,71.1,0,0,low,0.73,72,Overcast,65,252.06
19,2025-01-01,Soybean,Sandy Loam,12894.82,63.17,19.62,68.51,8,24.58,6.33,0.5,0.73,60.27,0,0,low,0.83,72,Light Rain,55,353.45
20,2025-01-01,Soybean,Clay,5472.75,22.33,12.9,51.98,0,14.6,2.6,0.5,0.82,20.14,27.89,1,high,0.7,0,Clear,55,53.41
21,2025-01-01,Soybean,Sandy Loam,18961.94,64.97,8.73,89.16,0,8.28,9.54,0.5,0.73,58.66,0,0,low,0.8,72,Clear,55,328.61
22,2025-01-01,Vegetables,Clay,13164.45,78.89,20.89,70.69,0,11.35,8.74,0.5,0.98,71.75,0,0,low,0.83,72,Clear,65,350.83
23,2025-01-01,Vegetables,Clay,7267.15,50.85,19.07,52.93,0,5.08,7.88,0.5,1.01,43.92,16.86,0,medium,0.82,72,Partly Cloudy,65,47.67
24,2025-01-01,Vegetables,Peat Mix,3429.74,77.55,11.36,80.92,0,18.82,2.63,0.5,0.95,76.12,0,0,low,0.79,72,Clear,65,61.8
25,2025-01-01,Vegetables,Sandy Loam,7667.18,38.25,10.21,62.2,0,14.24,5.34,0.5,0.92,34.18,24.66,1,high,0.72,0,Clear,65,66.17
26,2025-01-01,Rice,Peat Mix,1783.4,66.2,9.42,78.85,0,5.44,3.32,0.5,1.14,64.01,8.79,0,medium,0.71,72,Clear,75,24.11
27,2025-01-01,Rice,Sandy Loam,12021.35,68.16,20.24,52.01,0,14.88,7.2,0.5,1.15,61.51,10.79,0,medium,0.82,72,Partly Cloudy,75,170.1
28,2025-01-01,Rice,Clay,13322.33,50.04,19.35,41.46,0,9.82,1.29,0.5,1.11,47.9,21.68,1,high,0.81,0,Overcast,75,101.12
29,2025-01-01,Rice,Clay,5479.04,77.76,20.17,80.26,0,3.33,8.95,0.5,1.07,70.66,3.47,0,medium,0.77,72,Partly Cloudy,75,125.42
30,2025-01-01,Rice,Sandy,7866.09,78.73,12.96,49.54,11.48,17.13,1.69,0.5,1.09,79.72,0,0,low,0.78,72,Heavy Rain,75,131.99
31,2025-01-01,Rice,Peat Mix,2901.82,58.9,8.65,83.21,13.38,5.65,1.24,0.5,1.09,61.95,10.44,0,medium,0.76,0,Heavy Rain,75,51.1
32,2025-01-01,Cotton,Loamy,17641.23,33.97,13.41,37.51,0,10.43,3.62,0.5,0.93,30.37,11.7,0,low,0.77,72,Partly Cloudy,45,306.6
33,2025-01-01,Cotton,Clay,18485.46,35.13,14.23,36.84,5.62,24.98,1.17,0.5,0.99,34.76,8.19,0,low,0.71,72,Light Rain,45,132.17
34,2025-01-01,Cotton,Clay,4148.14,35.9,10.74,44.16,0,9.04,9.24,0.5,0.84,28.25,13.4,0,medium,0.84,72,Overcast,45,37.54
35,2025-01-02,Wheat,Sandy Loam,8569.36,28.62,9.69,48.59,0,5.03,5.59,0.5,0.92,23.97,20.82,1,high,0.7,0,Sunny,50,62.47
36,2025-01-02,Wheat,Sandy,1724.66,30.3,18.24,84.44,5.84,13.63,5.13,0.5,0.78,28.3,17.36,1,high,0.82,11,Light Rain,50,10.49
37,2025-01-02,Wheat,Clay,14516.44,68.26,9.02,42.57,0,22.37,7.56,0.5,0.79,62.05,0,0,low,0.82,72,Clear,50,325.02
38,2025-01-02,Wheat,Clay,5216.71,36.12,12.04,66.01,0,5.4,1.81,0.5,0.71,35.16,11.87,0,medium,0.74,72,Clear,50,87.69
39,2025-01-02,Wheat,Peat Mix,7677.39,60.6,18.51,40.35,0,4.85,0.16,0.5,0.85,59.69,0,0,low,0.77,72,Overcast,50,124.3
40,2025-01-02,Wheat,Sandy Loam,9574.07,20.55,13.77,43.7,0,5.51,5.36,0.5,0.73,15.97,27.22,1,critical,0.7,0,Partly Cloudy,50,91.24
41,2025-01-02,Tomato,Sandy Loam,12332.6,29.09,10.33,80.36,0,24.12,3.62,0.5,0.92,26.94,30.45,1,high,0.77,0,Sunny,65,131.47
42,2025-01-02,Tomato,Clay Loam,10843.76,63.04,12.91,67.42,17.68,5.83,0.38,0.5,1.08,67.18,0,0,low,0.81,72,Heavy Rain,65,324.88
43,2025-01-02,Tomato,Sandy Loam,12654.62,26.66,20.15,78.27,0,14.43,5.08,0.5,0.96,22.74,33.81,1,critical,0.8,0,Sunny,65,149.7
44,2025-01-02,Tomato,Clay,8221.41,39.31,10.83,77.77,0,6,3.8,0.5,0.93,36.9,22.48,1,high,0.71,0,Partly Cloudy,65,64.7
45,2025-01-02,Corn,Sandy Loam,19872.55,29.61,19.37,75.65,0,22.95,5.53,0.5,0.82,25.46,23.63,1,high,0.72,0,Overcast,55,164.35
46,2025-01-02,Corn,Sandy Loam,16909.48,24.86,11.73,38.12,0,9.01,9.76,0.5,0.98,16.38,30.9,1,critical,0.8,0,Partly Cloudy,55,182.96
47,2025-01-02,Corn,Loamy,7718.25,69.34,10.88,44.04,0,16.6,9.09,0.5,0.89,61.73,0,0,low,0.71,72,Overcast,55,132.52
48,2025-01-02,Potato,Sandy Loam,8769.51,71,13.54,73.59,6.95,18.35,2.62,0.5,0.87,71.08,0,0,low,0.73,72,Light Rain,65,248.09
49,2025-01-02,Potato,Peat Mix,15202.95,40.87,20.23,50.06,0,2.7,1.76,0.5,0.84,38.9,20.88,1,high,0.76,0,Overcast,65,111.13
50,2025-01-02,Potato,Peat Mix,12951.47,24.38,16.78,68.45,0,4.5,8.01,0.5,0.9,18.06,37.55,1,critical,0.8,0,Clear,65,170.18
51,2025-01-02,Potato,Sandy,5040.83,59.84,14.19,84.81,18.97,8.58,9.42,0.5,0.94,57.71,5.83,0,low,0.77,72,Heavy Rain,65,95.52
52,2025-01-02,Potato,Sandy Loam,15609.97,75.96,16.09,80.01,0,15.07,6.06,0.5,0.85,71.65,0,0,low,0.72,72,Clear,65,446.45
53,2025-01-02,Soybean,Sandy Loam,18137.37,41.95,17.53,49.28,0,21.58,7.36,0.5,0.7,35.79,15.37,0,medium,0.81,72,Clear,55,18.68
54,2025-01-02,Soybean,Sandy,4831.22,45.89,10.7,58.2,0,16.78,9.71,0.5,0.77,38.37,13.3,0,low,0.81,72,Overcast,55,77.06
55,2025-01-02,Soybean,Clay Loam,10091.66,21.29,20.09,44.86,0,7.41,6.42,0.5,0.84,15.45,31.64,1,critical,0.74,0,Partly Cloudy,55,111.71
56,2025-01-02,Soybean,Sandy Loam,11410.85,51.89,16.18,73.68,2.93,13.57,9.69,0.5,0.88,45.17,7.86,0,low,0.76,72,Light Rain,55,163.86
57,2025-01-02,Soybean,Clay,3492.42,17.12,10.9,77.57,0,22.27,2.38,0.5,0.8,16,31.2,1,critical,0.76,0,Partly Cloudy,55,38.14
58,2025-01-02,Soybean,Loamy,17682.11,52.61,9.04,68.9,0,23.5,6.16,0.5,0.74,48.37,5.3,0,low,0.76,72,Sunny,55,385.82
59,2025-01-02,Vegetables,Sandy,3109.45,30.82,17.41,53.61,0,9.37,7.18,0.5,1,24.56,32.35,1,high,0.84,0,Sunny,65,35.2
60,2025-01-02,Vegetables,Loamy,13542.72,40.11,8.09,64.28,0,23.96,2.18,0.5,1.08,38.54,21.17,1,high,0.82,3,Overcast,65,100.35
61,2025-01-02,Vegetables,Clay Loam,14555.6,64.19,11.65,60.18,0,11.2,0.1,0.5,1.09,63.97,0.82,0,low,0.77,72,Sunny,65,414.4
62,2025-01-02,Vegetables,Sandy Loam,1722.54,42.82,15.91,71.18,0,3.24,8.53,0.5,0.97,36.12,23.1,1,high,0.78,72,Sunny,65,13.94
63,2025-01-02,Rice,Sandy Loam,7964.45,54.65,20.02,87.77,0,22.14,0.02,0.5,1.09,54.9,16.08,1,high,0.71,0,Partly Cloudy,75,44.84
64,2025-01-02,Rice,Clay Loam,12188.38,59.58,16.17,41.03,0,17.96,6.08,0.5,1.12,53.74,17.01,1,high,0.71,0,Clear,75,72.52
65,2025-01-02,Rice,Sandy,15744.81,71.63,14.61,42.86,0,24.64,2.01,0.5,1.01,69.31,4.55,0,medium,0.82,72,Sunny,75,363.55
66,2025-01-02,Rice,Clay Loam,16262.24,58.15,15.26,71.24,0,7.1,9.42,0.5,1.03,50.7,19.44,1,high,0.83,0,Overcast,75,110.58
67,2025-01-02,Cotton,Loamy,9113.27,41.44,15.06,66.42,0,6.84,1.22,0.5,0.92,40.55,3.56,0,low,0.81,72,Partly Cloudy,45,161.85
68,2025-01-02,Cotton,Peat Mix,18146.37,36.78,16.55,74.96,0,20.3,5.41,0.5,0.92,32.72,9.82,0,low,0.75,72,Partly Cloudy,45,346.41
69,2025-01-02,Cotton,Sandy,7986.5,25.59,12.63,75.37,0,5.89,0.39,0.5,0.96,25.71,15.43,0,medium,0.8,20,Overcast,45,57.5
70,2025-01-02,Cotton,Clay Loam,4285.18,37.55,10.67,68.42,0,20.15,3.02,0.5,0.98,35.43,7.66,0,low,0.73,72,Clear,45,40.62
71,2025-01-02,Cotton,Clay,14951.13,64.67,12.74,64.15,0,18.18,3.81,0.5,0.98,61.68,0,0,low,0.76,72,Partly Cloudy,45,230.55
72,2025-01-03,Wheat,Clay,1867.68,60.03,9.2,74.51,0,5.99,1.23,0.5,0.74,59.9,0,0,low,0.81,72,Partly Cloudy,50,39.84
73,2025-01-03,Wheat,Sandy Loam,16989.67,16.7,18.71,61.45,0,21.63,5.4,0.5,0.85,12.23,30.22,1,critical,0.76,0,Sunny,50,179.75
74,2025-01-03,Wheat,Clay Loam,1601.86,59.65,10.35,41.94,0,2.49,1.04,0.5,0.78,58.58,0,0,low,0.73,72,Overcast,50,31.68
75,2025-01-03,Wheat,Loamy,12104.1,55.62,14.51,88,0,17.48,6.06,0.5,0.86,51.61,0,0,low,0.81,72,Clear,50,196.93
76,2025-01-03,Wheat,Peat Mix,5344.26,24.61,20.56,79.71,0,16.72,1.8,0.5,0.81,23.52,21.18,1,high,0.81,0,Partly Cloudy,50,39.6
77,2025-01-03,Wheat,Loamy,7973.82,39.3,20.92,65.01,0,5.08,3.6,0.5,0.84,36.27,10.98,0,low,0.83,72,Overcast,50,53.19
78,2025-01-03,Tomato,Sandy,5632.7,28.53,10.17,39.08,3.39,15.66,8.73,0.5,0.99,21.82,34.54,1,critical,0.72,0,Light Rain,65,68.1
79,2025-01-03,Tomato,Clay,1786.18,63.92,10.18,41.13,0,19.92,3.82,0.5,1.01,60.33,3.74,0,low,0.78,72,Clear,65,28.9
80,2025-01-03,Tomato,Peat Mix,2411.34,78.5,20.4,38.07,3,17.72,6.88,0.5,1.08,72.52,0,0,low,0.82,72,Light Rain,65,69.01
81,2025-01-03,Corn,Clay,8954.11,21.47,12.14,78.55,0,2.05,0.65,0.5,0.85,21.64,26.69,1,high,0.74,0,Clear,55,83.63
82,2025-01-03,Corn,Clay,14935.21,66.41,17.74,56.75,14.56,7.21,7.64,0.5,0.96,63.55,0,0,low,0.72,72,Heavy Rain,55,292.43
83,2025-01-03,Corn,Clay Loam,13277.36,24.69,12.35,40.8,14.97,7.92,6.98,0.5,0.89,22.34,26.13,1,high,0.71,0,Heavy Rain,55,121.49
84,2025-01-03,Potato,Clay Loam,1298.45,23.32,11.74,51.21,0,23.57,8.74,0.5,0.82,16.25,39,1,critical,0.82,0,Clear,65,17.72
85,2025-01-03,Potato,Sandy Loam,1388.08,49.67,16.91,78.39,0,16.35,6.7,0.5,0.86,44.74,16.21,1,high,0.78,72,Overcast,65,7.87
86,2025-01-03,Potato,Loamy,1974.93,77.21,18.22,76.77,0,8.35,3.14,0.5,0.85,75.03,0,0,low,0.8,72,Clear,65,35.83
87,2025-01-03,Potato,Sandy Loam,6425.54,60.99,12.06,68.27,1.87,21.5,1.39,0.5,0.91,60.65,3.48,0,low,0.73,72,Light Rain,65,103.58
88,2025-01-03,Potato,Clay,3195.71,38.74,17.91,64.5,0,24.58,7.78,0.5,0.83,32.52,25.98,1,high,0.73,0,Sunny,65,29.05
89,2025-01-03,Potato,Sandy,15067.76,50.25,11.16,89.54,0,24.37,2.49,0.5,0.86,49.31,12.55,0,medium,0.75,72,Partly Cloudy,65,172.68
90,2025-01-03,Soybean,Sandy Loam,13169.71,34.28,9.73,74.04,0,24.19,2.54,0.5,0.79,33,17.6,0,medium,0.79,72,Partly Cloudy,55,134.99
91,2025-01-03,Soybean,Clay Loam,6068.32,51.65,15.98,46.44,0,11.77,0.8,0.5,0.83,50.57,3.54,0,low,0.76,72,Clear,55,89.26
92,2025-01-03,Soybean,Sandy,14939.29,16.96,17.97,45.7,0,5.68,4.05,0.5,0.83,13.16,33.47,1,critical,0.8,0,Sunny,55,174.94
93,2025-01-03,Soybean,Clay,1962.96,38.44,19.41,39.1,0,7.35,8.45,0.5,0.85,30.82,19.34,0,medium,0.75,72,Clear,55,2.49
94,2025-01-03,Soybean,Clay,11586.72,60.04,9.8,85.74,0,8.37,2.52,0.5,0.75,59.17,0,0,low,0.72,72,Partly Cloudy,55,344.47
95,2025-01-03,Soybean,Sandy,9806.88,35.69,11.67,73.34,0,18.08,8.03,0.5,0.77,29.92,20.06,1,high,0.71,72,Partly Cloudy,55,68.84
96,2025-01-03,Vegetables,Peat Mix,16459.29,71.52,16.74,79.57,23.85,7.54,5.61,0.5,0.91,73.41,0,0,low,0.71,72,Heavy Rain,65,367.21
97,2025-01-03,Vegetables,Loamy,2458.64,33.23,9.77,55.53,7.43,19.71,1.23,0.5,1.04,33.98,24.82,1,high,0.72,0,Light Rain,65,21.37
98,2025-01-03,Vegetables,Peat Mix,14117.07,56.31,17.27,46.78,0,15.57,3.59,0.5,0.97,52.77,9.78,0,low,0.7,72,Clear,65,137.5
99,2025-01-03,Vegetables,Clay,3165.53,44.27,15.77,42.46,0,24.07,8.48,0.5,1.03,36.68,22.66,1,high,0.76,72,Clear,65,25.1
100,2025-01-03,Rice,Sandy Loam,5817.51,64.23,10.8,57.88,0,23.83,8.99,0.5,1.15,56.8,14.56,1,high,0.74,72,Sunny,75,29.67
101,2025-01-03,Rice,Sandy,14200.04,35.76,10.72,76.26,7.68,19.41,0.12,0.5,1.06,38.01,29.59,1,high,0.81,0,Light Rain,75,147.11
102,2025-01-03,Rice,Clay Loam,10469.54,52.36,10.29,40.13,21.54,9.97,7.12,0.5,1.07,51.4,18.88,1,high,0.82,0,Heavy Rain,75,69.2
103,2025-01-03,Rice,Sandy Loam,15160.15,66.64,15,66.61,0,15.93,8.57,0.5,1.04,59.73,12.22,1,high,0.75,72,Overcast,75,64.89
104,2025-01-03,Cotton,Sandy Loam,9359.97,21.36,16.37,49.58,0,16.79,4.47,0.5,0.81,17.44,22.05,1,high,0.71,0,Overcast,45,72.26
105,2025-01-03,Cotton,Clay,4539.24,25.45,9.91,67.15,0,8.19,8.58,0.5,0.84,19.05,20.76,1,high,0.71,16,Sunny,45,33
106,2025-01-03,Cotton,Sandy Loam,10207.66,49.97,16.29,45.46,0,23.63,6.24,0.5,0.87,44.44,0.45,0,low,0.72,72,Clear,45,297.14
107,2025-01-03,Cotton,Peat Mix,18542.08,17.29,16.03,35.14,9.59,23.68,7.16,0.5,0.96,13.01,25.59,1,critical,0.73,0,Heavy Rain,45,166.14
108,2025-01-03,Cotton,Sandy Loam,7608.14,64.25,16.08,67.06,0,15.17,4.69,0.5,0.82,60.68,0,0,low,0.79,72,Clear,45,196.06
109,2025-01-04,Wheat,Sandy,1788.66,37.5,19.6,36.52,6.8,8.04,4.26,0.5,0.78,34.93,12.06,0,medium,0.7,72,Light Rain,50,8.28
110,2025-01-04,Wheat,Clay,5177.75,37.82,8.39,38.6,2.84,15.2,3.19,0.5,0.86,35.64,11.49,0,medium,0.78,72,Light Rain,50,38.88
111,2025-01-04,Wheat,Sandy Loam,2008.48,45.59,18.24,47.88,0,12.39,4.85,0.5,0.92,41.08,7.14,0,low,0.84,72,Overcast,50,26.51
112,2025-01-04,Tomato,Clay Loam,11126.85,58.58,11.68,55.66,2,13.45,0.72,0.5,0.94,58.41,5.27,0,low,0.77,72,Light Rain,65,237.22
113,2025-01-04,Tomato,Peat Mix,14772.18,69.48,10.36,77.19,0,5.11,9.57,0.5,0.91,62.48,2.02,0,low,0.74,72,Sunny,65,303.57
114,2025-01-04,Tomato,Peat Mix,5656.47,74.24,9.54,85.39,0,9.85,2.25,0.5,1.07,73.19,0,0,low,0.73,72,Partly Cloudy,65,157.08
115,2025-01-04,Corn,Clay,15649.04,31.14,14.44,39.32,0,12,9.54,0.5,0.87,22.88,25.7,1,high,0.77,0,Clear,55,140.84
116,2025-01-04,Corn,Sandy Loam,5475.94,48.59,20.83,59.74,11.22,5.58,7.2,0.5,0.87,45.3,7.76,0,low,0.82,72,Heavy Rain,55,49.06
117,2025-01-04,Corn,Clay,15427.25,50.97,20.84,85.42,0,12.92,7.39,0.5,0.85,45.52,7.58,0,low,0.84,72,Overcast,55,300.37
118,2025-01-04,Corn,Sandy,15037.43,53.16,15.71,89.6,6.6,18.47,5.75,0.5,0.81,51.1,3.12,0,low,0.72,72,Light Rain,55,384.66
119,2025-01-04,Corn,Sandy,3458.48,57.08,17.94,59.92,0,24.15,8.05,0.5,0.92,50.39,3.69,0,low,0.81,72,Partly Cloudy,55,73.91
120,2025-01-04,Corn,Sandy Loam,12913.05,24.54,18.02,55.81,5.98,12.31,4.71,0.5,0.86,21.97,26.42,1,high,0.79,0,Light Rain,55,119.45
121,2025-01-04,Potato,Loamy,2031.48,55.98,19.58,85.91,0,7.89,5.48,0.5,0.83,52.16,10.27,0,medium,0.72,72,Partly Cloudy,65,27.12
122,2025-01-04,Potato,Clay Loam,19646.17,56.17,8.87,64.39,0,10.91,9.24,0.5,0.93,49.1,12.72,0,medium,0.8,72,Partly Cloudy,65,52.85
123,2025-01-04,Potato,Sandy Loam,1471.63,71.43,16.79,67.28,0,19.19,6.61,0.5,0.94,66.15,0,0,low,0.83,72,Clear,65,35.5
124,2025-01-04,Potato,Peat Mix,7131.86,56.19,9.26,44.51,18.45,14.86,8.51,0.5,0.87,53.78,8.98,0,medium,0.72,72,Heavy Rain,65,122.17
125,2025-01-04,Soybean,Peat Mix,9998.13,50.24,10.89,75.47,0,11.51,2.85,0.5,0.72,48.78,4.98,0,low,0.75,72,Sunny,55,185.87
126,2025-01-04,Soybean,Peat Mix,14122.62,17.4,19.83,78.65,0,19.98,7.96,0.5,0.88,11.3,34.96,1,critical,0.73,0,Partly Cloudy,55,172.86
127,2025-01-04,Soybean,Loamy,13666.89,58.73,8.3,74.5,0,15.67,3.06,0.5,0.83,57.06,0,0,low,0.78,72,Overcast,55,297.53
128,2025-01-04,Soybean,Clay Loam,7438.78,25.07,13.4,84.49,0,2.38,2.98,0.5,0.78,23.58,25.14,1,high,0.77,0,Sunny,55,65.46
129,2025-01-04,Vegetables,Clay Loam,7418.28,48.52,13.68,45.4,0,22.28,5.42,0.5,0.98,43.64,17.09,0,medium,0.71,72,Partly Cloudy,65,74.55
130,2025-01-04,Vegetables,Clay Loam,4945.77,40.32,18.07,65.45,0,22.84,4.14,0.5,0.96,36.87,22.5,1,high,0.7,11,Partly Cloudy,65,38.97
131,2025-01-04,Vegetables,Sandy,10125.08,72.11,17.75,51.59,0,20.04,0.88,0.5,1.05,70.75,0,0,low,0.7,72,Partly Cloudy,65,179.42
132,2025-01-04,Vegetables,Loamy,3677.08,42.2,18.08,69.74,0,16.19,1.94,0.5,0.94,40.66,19.47,0,medium,0.77,72,Clear,65,0
133,2025-01-04,Rice,Peat Mix,3642.63,71.1,15.83,80.39,0,17.36,1.86,0.5,1.06,69.91,4.07,0,medium,0.81,72,Overcast,75,61.92
134,2025-01-04,Rice,Loamy,14837.33,55.07,12.76,85.84,15.71,7.54,3.84,0.5,1.18,56.39,14.89,1,high,0.79,0,Heavy Rain,75,77.3
135,2025-01-04,Rice,Loamy,7209.26,52.13,13.79,40.17,0,15.08,9.24,0.5,1.09,43.89,24.89,1,high,0.81,0,Clear,75,62.79
136,2025-01-04,Cotton,Clay Loam,18778.29,14.2,16.55,60.98,0,16.5,3.99,0.5,0.85,10.95,27.24,1,critical,0.84,0,Clear,45,178.96
137,2025-01-04,Cotton,Sandy,14350.2,47.31,21.04,43.89,0,21.83,1.77,0.5,0.89,45.05,0,0,low,0.71,72,Clear,45,396.64
138,2025-01-04,Cotton,Sandy,11360.25,25.26,16.02,40.91,14.26,8.81,3.98,0.5,0.96,24.87,16.1,1,high,0.76,9,Heavy Rain,45,64.07
139,2025-01-04,Cotton,Loamy,1509.11,26.06,17.39,73.48,0,16.07,4.78,0.5,1,22.32,18.14,1,high,0.82,34,Partly Cloudy,45,9.58
140,2025-01-04,Cotton,Peat Mix,6767,42.69,15.77,82.71,19.49,10.33,3.79,0.5,0.85,45.16,0,0,low,0.74,72,Heavy Rain,45,166.74
141,2025-01-04,Cotton,Sandy,11425.19,22.79,12.21,62.04,0,16.16,3.83,0.5,0.88,19.88,20.1,1,high,0.84,0,Sunny,45,80.43
142,2025-01-05,Wheat,Sandy Loam,13229.6,44.84,19.1,89.99,0,8.06,6.58,0.5,0.92,40.17,7.86,0,low,0.76,72,Overcast,50,212.6
143,2025-01-05,Wheat,Loamy,14432.8,69.68,16.17,82.65,7.93,20.27,0.36,0.5,0.84,72,0,0,low,0.7,72,Light Rain,50,275.52
144,2025-01-05,Wheat,Sandy Loam,9777.41,63.9,16.92,42.47,5.1,8.09,1.46,0.5,0.92,63.29,0,0,low,0.8,72,Light Rain,50,274.65
145,2025-01-05,Wheat,Loamy,15353.68,50.78,11.18,88.28,1.75,10.14,7.46,0.5,0.88,46.24,3.01,0,low,0.76,72,Light Rain,50,392.29
146,2025-01-05,Wheat,Sandy,16705.77,62.46,14.37,59.17,0,14.43,3.98,0.5,0.74,59.41,0,0,low,0.82,72,Sunny,50,427
147,2025-01-05,Wheat,Clay,8623.68,34.31,15.73,47.95,0,6.56,7.28,0.5,0.94,27.96,17.63,1,high,0.81,72,Partly Cloudy,50,53.21
148,2025-01-05,Tomato,Loamy,18628.07,21.23,19.47,85.16,0,24.12,9.05,0.5,1,14.32,40.54,1,critical,0.82,0,Sunny,65,264.33
149,2025-01-05,Tomato,Clay,19282.57,58.4,20.23,84.84,13.25,16.58,6.51,0.5,1.06,56.71,6.63,0,low,0.84,72,Heavy Rain,65,295.79
150,2025-01-05,Tomato,Peat Mix,8718.23,66.25,8.44,36.8,0,12.71,8.12,0.5,0.95,59.25,4.6,0,low,0.71,72,Sunny,65,161.11
151,2025-01-05,Tomato,Peat Mix,17202.94,41.71,19,81.49,0,10.3,3.28,0.5,0.99,39.34,20.53,1,high,0.84,56,Partly Cloudy,65,123.69
152,2025-01-05,Tomato,Clay,12358.27,72.48,12.87,40.88,14.41,10.27,3.88,0.5,0.99,72.32,0,0,low,0.76,72,Heavy Rain,65,345.17
153,2025-01-05,Corn,Sandy Loam,4124.9,34.68,17.95,36.08,0,18.73,3.84,0.5,0.87,30.71,19.43,1,high,0.84,0,Clear,55,28.05
154,2025-01-05,Corn,Clay Loam,7950.36,60.34,10.25,46.53,0,22.3,2.98,0.5,0.98,57.61,0,0,low,0.81,72,Overcast,55,146.92
155,2025-01-05,Corn,Peat Mix,8665.28,38.99,17.44,55.79,0,6.4,5.64,0.5,0.98,34.05,16.76,1,high,0.82,72,Sunny,55,50.87
156,2025-01-05,Corn,Peat Mix,12000.65,55.42,16.26,43.13,0,14.79,3.57,0.5,0.94,51.87,2.5,0,low,0.83,72,Sunny,55,261.85
157,2025-01-05,Potato,Peat Mix,4859.82,62.51,16.93,51.24,0,4.63,7.31,0.5,0.91,56.22,7.02,0,low,0.81,72,Overcast,65,71.97
158,2025-01-05,Potato,Clay,12512.17,34.76,14.73,74.85,23.01,6.46,3.37,0.5,0.82,38.3,21.36,1,high,0.73,0,Heavy Rain,65,93.59
159,2025-01-05,Potato,Sandy Loam,5808.51,67.28,19.03,79.74,2,16.05,0.61,0.5,0.9,67.61,0,0,low,0.78,72,Light Rain,65,110.77
160,2025-01-05,Potato,Clay Loam,6704.14,55.99,15.5,55.41,20.02,14.48,7.59,0.5,0.8,54.81,8.15,0,low,0.84,72,Heavy Rain,65,117.86
